ID,Customer_ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
1,8270,5,52,Engineer,134192.25,13672.73,5,1,10,5,59,3,24.88,11,Bad,4450.33,20.25,8 Years and 10 Months,Yes,1356.62,34.29,High_spent_Large_value_payments,331.11,Poor
2,1860,4,40,Accountant,17880.06,12471.23,8,6,13,5,50,23,12.49,3,Standard,599.11,32.22,19 Years and 10 Months,No,1406.89,143.75,Low_spent_Large_value_payments,148.09,Poor
3,6390,8,66,Developer,103443.84,6129.23,4,7,13,2,34,14,24.42,13,Good,913.08,45.13,16 Years and 6 Months,Yes,86.41,859.17,High_spent_Large_value_payments,639.11,Standard
4,6191,5,25,Mechanic,89388.55,10985.65,3,0,22,7,40,10,3.82,9,Bad,1645.99,41.27,20 Years and 4 Months,NM,212.44,15.22,High_spent_Small_value_payments,1145.03,Poor
5,6734,4,45,Scientist,167733.19,6413.1,5,5,9,2,1,8,8.64,9,Bad,3251.48,32.65,20 Years and 9 Months,No,1323.34,406.92,Low_spent_Medium_value_payments,1184.57,Poor
6,7265,5,40,Lawyer,53748.14,4102.83,5,8,19,1,39,14,23.83,1,Standard,2619.06,38.99,8 Years and 6 Months,NM,408.43,1359.18,High_spent_Small_value_payments,911.14,Poor
7,1466,2,21,Scientist,55871.69,5669.22,8,6,7,4,16,21,0.72,8,Bad,3561.84,32.95,17 Years and 9 Months,Yes,601.65,1257.71,Low_spent_Large_value_payments,922.33,Poor
8,5426,4,31,Teacher,79928.86,1807.7,6,4,15,6,1,19,26.32,3,Standard,156.69,45.32,24 Years and 3 Months,NM,6.89,1133.68,High_spent_Large_value_payments,180.99,Standard
9,6578,8,59,Mechanic,51372.85,5511.24,2,9,17,0,46,1,5.85,4,Bad,4052.29,37.18,12 Years and 4 Months,NM,737.19,1650.25,High_spent_Large_value_payments,661.81,Poor
10,9322,1,46,Accountant,31961.27,7342.54,1,9,14,1,-3,24,29.04,1,Good,4937.41,38.98,1 Years and 2 Months,Yes,1297.95,722.73,High_spent_Large_value_payments,864.25,Standard
